PRODUKT_CODE,STATION_ID,ZEITSTEMPEL,WERT,,,,,,,,
TT_TU_MN009,662,201701061600.00,-5.8,,,,,,,,
TT_TU_MN009,662,201701061700.00,-6.1,,,,,,,,
TT_TU_MN009,662,201701061800.00,-7.2,,,,,,,,
TT_TU_MN009,662,201701061900.00,-7.5,,,,,,,,
TT_TU_MN009,662,201701062000.00,-7.5,,,,,,,,
TT_TU_MN009,662,201701062100.00,-7.6,,,,,,,,
TT_TU_MN009,662,201701062200.00,-6,,,,,,,,
TT_TU_MN009,662,201701062300.00,-6.2,,,,,,,,
TT_TU_MN009,662,201701070000.00,-5.7,,,,,,,,
TT_TU_MN009,662,201701070100.00,-5.6,,,,,,,,
TT_TU_MN009,662,201701070200.00,-5.4,,,,,,,,
TT_TU_MN009,662,201701070300.00,-5.2,,,,,,,,
TT_TU_MN009,662,201701070400.00,-5.2,,,,,,,,
TT_TU_MN009,662,201701070500.00,-5.3,,,,,,,,
TT_TU_MN009,662,201701070600.00,-5.2,,,,,,,,
TT_TU_MN009,662,201701070700.00,-5,,,,,,,,
TT_TU_MN009,662,201701070800.00,-4.8,,,,,,,,
TT_TU_MN009,662,201701070900.00,-4.5,,,,,,,,
TT_TU_MN009,662,201701071000.00,-4,,,,,,,,
TT_TU_MN009,662,201701071100.00,-4.2,,,,,,,,
TT_TU_MN009,662,201701071200.00,-3.8,,,,,,,,
TT_TU_MN009,662,201701071300.00,-3.1,,,,,,,,
TT_TU_MN009,662,201701071400.00,-2.6,,,,,,,,
TT_TU_MN009,662,201701071500.00,-2.5,,,,,,,,
TT_TU_MN009,662,201701071600.00,-2.6,,,,,,,,
TT_TU_MN009,662,201701071700.00,-2.6,,,,,,,,
TT_TU_MN009,662,201701071800.00,-1.9,,,,,,,,
TT_TU_MN009,662,201701071900.00,-1.4,,,,,,,,
TT_TU_MN009,662,201701072000.00,-1.1,,,,,,,,
TT_TU_MN009,662,201701072100.00,-0.7,,,,,,,,
TT_TU_MN009,662,201701072200.00,-0.4,,,,,,,,
TT_TU_MN009,662,201701072300.00,-0.1,,,,,,,,
TT_TU_MN009,662,201701080000.00,0,,,,,,,,
TT_TU_MN009,662,201701080100.00,0.1,,,,,,,,
TT_TU_MN009,662,201701080200.00,0.3,,,,,,,,
TT_TU_MN009,662,201701080300.00,0.4,,,,,,,,
TT_TU_MN009,662,201701080400.00,0.5,,,,,,,,
TT_TU_MN009,662,201701080500.00,0.6,,,,,,,,
TT_TU_MN009,662,201701080600.00,0.6,,,,,,,,
TT_TU_MN009,662,201701080700.00,0.5,,,,,,,,
TT_TU_MN009,662,201701080800.00,0.6,,,,,,,,
TT_TU_MN009,662,201701080900.00,0.7,,,,,,,,
TT_TU_MN009,662,201701081000.00,0.9,,,,,,,,
TT_TU_MN009,662,201701081100.00,0.9,,,,,,,,
TT_TU_MN009,662,201701081200.00,1,,,,,,,,
TT_TU_MN009,662,201701081300.00,1.1,,,,,,,,
TT_TU_MN009,662,201701081400.00,1,,,,,,,,
TT_TU_MN009,662,201701081500.00,0.9,,,,,,,,
TT_TU_MN009,662,201701081600.00,1,,,,,,,,
TT_TU_MN009,662,201701081700.00,1,,,,,,,,
TT_TU_MN009,662,201701081800.00,0.9,,,,,,,,
TT_TU_MN009,662,201701081900.00,0.9,,,,,,,,
TT_TU_MN009,662,201701082000.00,0.7,,,,,,,,
TT_TU_MN009,662,201701082100.00,0.8,,,,,,,,
TT_TU_MN009,662,201701082200.00,0.8,,,,,,,,
TT_TU_MN009,662,201701082300.00,0.7,,,,,,,,
TT_TU_MN009,662,201701090000.00,0.8,,,,,,,,
TT_TU_MN009,662,201701090100.00,0.6,,,,,,,,
TT_TU_MN009,662,201701090200.00,0.5,,,,,,,,
TT_TU_MN009,662,201701090300.00,0.3,,,,,,,,
TT_TU_MN009,662,201701090400.00,0.3,,,,,,,,
TT_TU_MN009,662,201701090500.00,0.2,,,,,,,,
TT_TU_MN009,662,201701090600.00,0.1,,,,,,,,
TT_TU_MN009,662,201701090700.00,0.1,,,,,,,,
